recid;black;alcohol;drugs;married;felon;educ;rules;age
0;0;1;0;1;0;7;2;441
0;1;0;0;0;1;12;0;307
1;0;0;0;0;0;9;5;262
0;1;0;0;0;0;12;0;277
0;1;1;0;0;0;12;2;327
1;0;0;0;1;0;10;0;388
1;1;0;0;1;1;11;2;430
0;1;1;0;1;0;6;0;417
1;1;0;0;0;0;12;1;305
0;1;0;0;1;1;11;0;511
0;1;1;0;1;1;10;5;316
1;0;1;0;1;0;10;1;278
0;1;0;0;1;0;8;0;284
1;1;0;0;0;1;9;3;273
1;0;1;0;0;0;10;3;572
0;0;1;0;0;0;14;1;472
1;1;0;0;0;1;8;18;269
0;0;0;0;0;0;10;0;292
0;0;1;0;1;0;16;1;516
0;1;1;0;1;0;9;0;414
1;1;0;0;0;0;9;0;288
0;0;0;0;1;1;12;2;307
0;1;0;0;0;0;12;0;330
1;0;0;1;0;1;10;0;314
0;0;0;0;0;0;9;1;268
0;1;1;1;0;1;7;1;446
1;0;0;0;0;0;3;0;699
0;0;1;0;1;0;12;0;455
1;0;0;0;0;0;11;0;342
0;1;0;0;0;0;6;0;582
0;0;0;0;1;0;11;0;298
0;0;0;0;0;1;12;3;601
0;0;0;0;0;0;9;7;295
1;0;1;0;0;0;9;0;233
1;1;0;0;0;0;8;4;242
0;1;0;1;0;0;10;0;255
1;0;0;0;0;1;10;8;265
1;1;0;0;0;0;10;4;247
0;0;1;0;0;0;11;0;516
0;0;0;1;0;1;10;6;292
0;1;0;1;1;0;9;0;454
1;1;0;0;0;0;9;0;205
1;1;0;0;0;0;9;0;220
1;0;0;1;0;0;8;0;296
0;1;0;1;0;0;11;0;427
0;0;0;0;0;0;10;0;211
0;0;0;1;1;1;9;0;330
0;1;0;1;0;0;5;0;373
0;0;0;1;0;0;9;1;225
1;1;0;1;0;0;12;2;262
1;0;1;0;1;0;13;0;238
0;0;0;0;0;1;9;0;400
1;1;1;0;1;0;12;2;285
0;0;0;0;0;1;10;4;302
1;0;0;0;0;1;11;2;471
1;1;0;1;0;1;10;3;255
1;0;0;0;1;0;10;3;231
1;1;0;0;0;1;12;0;293
1;0;0;0;0;0;10;1;286
0;0;0;1;0;0;9;0;215
0;1;0;1;0;1;5;0;675
1;1;0;0;0;0;12;0;280
0;1;0;0;0;0;9;0;249
1;1;1;1;0;0;10;2;218
1;0;0;0;1;0;10;1;276
0;1;0;0;0;0;12;4;394
1;0;0;1;1;1;6;0;416
0;0;0;0;0;0;10;0;314
0;1;1;0;0;1;11;2;357
0;1;0;0;1;0;16;1;397
0;0;0;0;0;0;11;2;233
0;0;1;0;0;1;12;0;275
0;1;1;0;1;0;12;0;368
0;0;1;0;1;0;4;0;457
0;0;0;0;0;1;7;1;569
1;0;0;0;0;0;8;0;213
0;0;0;0;0;1;12;2;424
1;0;1;1;0;1;11;8;285
0;0;0;1;1;0;11;0;270
1;0;0;0;0;1;8;3;292
1;0;0;0;0;0;10;0;204
1;1;0;0;0;0;10;0;259
0;1;0;0;1;0;12;0;458
0;0;1;0;1;0;5;0;889
0;1;0;0;0;1;12;1;412
1;1;0;0;0;0;10;0;225
1;0;0;0;0;0;7;2;262
1;0;1;1;1;0;8;0;308
0;0;0;1;0;0;12;0;240
0;1;0;0;1;0;12;1;250
0;0;0;0;1;1;7;0;377
0;0;1;0;0;0;4;0;606
1;1;1;0;0;0;6;0;631
1;1;0;0;0;0;8;11;329
0;0;0;0;0;1;7;4;349
0;0;0;0;1;0;7;0;654
1;1;0;1;0;0;8;0;199
